EAC,GI,TM,the_date,hour
12.021,833.25,48.6333333333333,2019-11-12,11
11.667,797.816666666667,48.2333333333333,2019-11-12,12
10.073,642.183333333333,43.25,2019-11-12,13
7.482,440.583333333333,36.5,2019-11-12,14
4.34400000000001,261.166666666667,32.7666666666667,2019-11-12,15
1.143,75.7,27.4,2019-11-12,16
0.00900000000000034,0.783333333333333,23.1666666666667,2019-11-12,17
0.33,17.35,16.7,2019-11-13,6
2.633,194.933333333333,24.3333333333333,2019-11-13,7
6.899,405.95,34.25,2019-11-13,8
9.388,583.833333333333,40.6166666666667,2019-11-13,9
10.863,719.333333333333,46.2666666666667,2019-11-13,10
11.332,768.933333333333,47.9833333333333,2019-11-13,11
9.30099999999999,601.266666666667,44.9333333333333,2019-11-13,12
9.689,615.85,44.3833333333333,2019-11-13,13
7.123,420.066666666667,36.15,2019-11-13,14
4.107,245.7,30.8833333333333,2019-11-13,15
1.08399999999999,70.2666666666667,26.7333333333333,2019-11-13,16
0.00900000000000034,0.666666666666667,23.5333333333333,2019-11-13,17
0.405,23.0166666666667,18.3166666666667,2019-11-14,6
2.051,114.6,22.5166666666667,2019-11-14,7
5.546,315.733333333333,27.15,2019-11-14,8
8.746,522.7,32.9333333333333,2019-11-14,9
10.709,679.033333333333,37.4333333333333,2019-11-14,10
11.395,749.066666666667,41.5166666666667,2019-11-14,11
11.073,725.116666666667,42.4833333333333,2019-11-14,12
9.566,599.95,40.6833333333333,2019-11-14,13
7.41,438.566666666667,36.3833333333333,2019-11-14,14
3.163,186.45,28.9666666666667,2019-11-14,15
0.500999999999991,33.65,25.0333333333333,2019-11-14,16
0.00399999999999068,0.0666666666666667,22.7333333333333,2019-11-14,17
0.239,15.5833333333333,18.2166666666667,2019-11-15,6
2.099,125.283333333333,21.1833333333333,2019-11-15,7
6.611,386.8,31.5166666666667,2019-11-15,8
9.328,579.083333333333,40.4666666666667,2019-11-15,9
10.738,707.833333333333,44.0333333333333,2019-11-15,10
11.237,758.033333333333,45.45,2019-11-15,11
10.793,719.983333333333,45.8333333333333,2019-11-15,12
8.688,549.133333333333,42.35,2019-11-15,13
5.315,315.1,34.4333333333333,2019-11-15,14
2.425,136.75,28.7833333333333,2019-11-15,15
0.838999999999999,48.65,25.7333333333333,2019-11-15,16
0.00600000000000023,0.316666666666667,24.0,2019-11-15,17
0.315,16.5333333333333,17.3,2019-11-16,6
2.531,175.45,22.5666666666667,2019-11-16,7
6.506,384.266666666667,32.1166666666667,2019-11-16,8
9.268,578.166666666667,40.2333333333333,2019-11-16,9
10.709,708.933333333333,44.7,2019-11-16,10
10.658,714.95,44.55,2019-11-16,11
7.84500000000001,493.3,39.7,2019-11-16,12
7.037,423.416666666667,35.1166666666667,2019-11-16,13
4.743,276.083333333333,33.3833333333333,2019-11-16,14
2.513,142.916666666667,28.7333333333333,2019-11-16,15
0.765999999999998,46.7333333333333,25.1,2019-11-16,16
0.00600000000000023,0.483333333333333,22.1333333333333,2019-11-16,17
0.253,11.6166666666667,16.6166666666667,2019-11-17,6
2.511,240.6,23.4,2019-11-17,7
7.877,481.6,35.25,2019-11-17,8
10.273,659.2,41.7833333333333,2019-11-17,9
11.494,788.066666666667,49.9,2019-11-17,10
12.039,843.083333333333,50.15,2019-11-17,11
11.541,786.016666666667,47.7,2019-11-17,12
10.338,665.883333333333,43.85,2019-11-17,13
8.509,514.133333333333,40.55,2019-11-17,14
4.874,311.85,36.0,2019-11-17,15
1.21899999999999,98.8,29.9,2019-11-17,16
0.00999999999999091,0.8,25.0166666666667,2019-11-17,17
0.24,12.8666666666667,17.4166666666667,2019-11-18,6
2.271,216.916666666667,22.9833333333333,2019-11-18,7
7.769,470.3,31.2333333333333,2019-11-18,8
10.025,622.1,36.4,2019-11-18,9
11.139,728.333333333333,39.5666666666667,2019-11-18,10
11.547,782.416666666667,46.2333333333333,2019-11-18,11
11.098,757.816666666667,51.9666666666667,2019-11-18,12
9.544,613.933333333333,48.0166666666667,2019-11-18,13
7.25999999999999,426.65,35.25,2019-11-18,14
3.79599999999999,227.5,30.8666666666667,2019-11-18,15
0.928000000000011,60.6333333333333,26.3,2019-11-18,16
0.0109999999999957,0.55,23.1833333333333,2019-11-18,17
0.184,11.9166666666667,19.7,2019-11-19,6
1.675,89.2833333333333,21.4833333333333,2019-11-19,7
2.757,143.0,23.9166666666667,2019-11-19,8
4.799,252.533333333333,26.5333333333333,2019-11-19,9
4.321,232.283333333333,26.9333333333333,2019-11-19,10
6.538,364.25,29.05,2019-11-19,11
5.369,292.216666666667,28.8166666666667,2019-11-19,12
3.052,160.966666666667,26.5166666666667,2019-11-19,13
1.673,90.6166666666667,24.3666666666667,2019-11-19,14
1.646,90.0333333333333,24.2,2019-11-19,15
0.692999999999998,41.0666666666667,22.8166666666667,2019-11-19,16
0.0120000000000005,0.533333333333333,20.4833333333333,2019-11-19,17
0.187,13.0,20.0666666666667,2019-11-20,6
1.475,79.9333333333333,22.1666666666667,2019-11-20,7
3.481,188.433333333333,26.1333333333333,2019-11-20,8
8.316,493.95,34.05,2019-11-20,9
6.643,388.433333333333,34.5166666666667,2019-11-20,10
4.984,274.583333333333,31.7833333333333,2019-11-20,11
6.556,374.466666666667,35.65,2019-11-20,12
6.43,375.283333333333,39.2166666666667,2019-11-20,13
4.596,256.6,32.6666666666667,2019-11-20,14
2.31,129.816666666667,28.7333333333333,2019-11-20,15
0.731000000000002,43.5,25.45,2019-11-20,16
0.0150000000000006,1.35,22.4,2019-11-20,17
0.166,10.5,17.1166666666667,2019-11-21,6
2.019,153.883333333333,22.1,2019-11-21,7
6.359,384.616666666667,32.9,2019-11-21,8
9.29,579.516666666667,39.3,2019-11-21,9
10.803,715.966666666667,44.9166666666667,2019-11-21,10
10.145,680.116666666667,45.8166666666667,2019-11-21,11
10.529,693.633333333333,42.4666666666667,2019-11-21,12
10.144,638.483333333333,38.7166666666667,2019-11-21,13
7.95399999999999,474.6,34.7833333333333,2019-11-21,14
3.13500000000001,189.1,29.6,2019-11-21,15
0.794000000000011,63.1,24.7666666666667,2019-11-21,16
0.0169999999999959,0.633333333333333,22.0333333333333,2019-11-21,17
0.046,4.45,20.7333333333333,2019-11-22,6
1.918,211.083333333333,25.75,2019-11-22,7
7.105,440.916666666667,34.1166666666667,2019-11-22,8
10.189,650.85,40.75,2019-11-22,9
11.177,755.433333333333,46.1333333333333,2019-11-22,10
11.154,772.7,51.65,2019-11-22,11
10.928,760.233333333333,52.9,2019-11-22,12
9.566,610.45,41.85,2019-11-22,13
7.92599999999999,479.916666666667,36.8166666666667,2019-11-22,14
4.265,272.033333333333,33.9,2019-11-22,15
1.03699999999999,79.5166666666667,28.7,2019-11-22,16
0.00999999999999091,0.483333333333333,24.6833333333333,2019-11-22,17
0.222,10.15,18.8,2019-11-23,6
2.276,156.866666666667,22.4,2019-11-23,7
3.247,179.35,28.8666666666667,2019-11-23,8
8.299,508.666666666667,39.2333333333333,2019-11-23,9
7.705,489.166666666667,42.5,2019-11-23,10
6.483,395.983333333333,39.9666666666667,2019-11-23,11
7.23,436.25,36.8,2019-11-23,12
7.524,477.9,39.9833333333333,2019-11-23,13
6.546,392.116666666667,34.95,2019-11-23,14
1.284,75.0,27.8666666666667,2019-11-23,15
0.476999999999997,31.6666666666667,25.95,2019-11-23,16
